date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,报告日,净利润,营业利润,利润总额,应收账款,存货,资产总计,负债合计,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,现金及现金等价物净增加额,实际披露日,stock_status,营业总收入,营业总成本,营业成本,所得税费用,归属于母公司所有者的净利润,货币资金,流动资产合计,非流动资产合计,流动负债合计,非流动负债合计,所有者权益(或股东权益)合计,流通股本,流通市值
2010-01-04,sz.000069,17.2,17.23,16.57,16.58,17.17,34742021.0,583399606.99,3,2.695518,1,-3.4362,52.377487,8.75111,12.04429,712.02568,0,2009-09-30,1004481685.52,1236599710.02,1246394150.87,59837423.27,2682633098.37,16003901771.62,8697593839.79,6724790228.26,-1811363914.3,-2323701393.88,2587713637.59,2009-12-30,正常票,5647357317.0,4563167756.77,2825450085.41,241912465.35,953204700.37,1244711574.39,4159677516.24,11844224255.38,7888048383.79,809545456.0,7306307931.83,1288881061.0799112,21369647992.704926
2010-01-04,sz.000070,9.8,10.04,9.71,9.99,9.8,4694009.0,46434023.75,3,1.974809,1,1.9388,56.782441,3.614244,3.001624,1048.608427,0,2009-09-30,31002006.28,24324749.09,32001377.37,263726977.82,211509898.38,1172282323.28,450490736.74,-44463699.68,-94575563.26,24934411.24,-114104851.7,2009-12-30,正常票,607431247.51,587306971.22,517826199.52,999371.09,30824906.92,218418462.97,762685364.9,409596958.38,324283561.86,126207174.88,721791586.54,237694328.91991073,2374566345.9099083
2010-01-04,sz.000078,17.06,17.3,16.8,16.9,16.99,26292863.0,447898966.85,3,5.985645,1,-0.5297,700.136808,16.165257,4.420172,241.385266,0,2009-09-30,25441486.05,15614749.23,32760819.55,711280412.63,277413475.94,3068805694.81,2314797830.78,101419541.58,-238869453.16,141345821.11,3901344.93,2009-12-30,正常票,1986914645.14,1971657679.81,1668018871.23,7319333.5,31192650.61,415084755.41,1854796197.33,1214009497.48,2142477830.78,172320000.0,754007864.03,439265325.6248909,7423584003.060656
2010-01-04,sz.000088,8.37,8.38,8.21,8.21,8.31,5838383.0,48354783.35,3,1.437468,1,-1.2034,21.570173,2.639696,26.230797,-99.623064,0,2009-09-30,379115242.46,412303537.48,412303664.25,14277952.09,314461.51,4545813031.22,344541472.85,191004953.07,138171979.96,-403042898.3,-73102840.39,2009-12-30,正常票,289920039.18,115282608.02,96327421.16,33188421.79,336386326.3,1737757398.98,1809428143.36,2736384887.86,113449296.67,231092176.18,4201271558.37,406157424.02613485,3334552451.2545676
2010-01-04,sz.000089,7.51,7.58,7.49,7.49,7.51,19839596.0,149471130.75,3,3.03764,1,-0.2663,24.477544,2.507441,7.902236,421.564078,0,2009-09-30,457508772.74,563602419.03,574702361.95,357324813.86,2463799.5,5645287607.49,572089740.42,317631403.26,-427341309.12,-9280712.59,-119035575.48,2009-12-30,正常票,1226059955.1,687044632.82,587685008.37,117193589.21,451589721.38,1375766905.0,1795062859.41,3850224748.08,469514086.67,102575653.75,5073197867.07,653125320.9728605,4891908654.086725
2010-01-04,sz.000090,12.0,12.07,11.65,11.72,11.95,8417109.0,99302838.92,3,1.930762,1,-1.9247,-101.517964,2.261656,1.698583,-13.353882,0,2009-09-30,51106017.62,85089730.42,88376888.35,238163942.65,2844458581.09,5406025259.17,3039712502.4,18329327.06,198607918.32,-477772815.84,-260835570.46,2009-12-30,正常票,1879521643.64,1941566897.37,1661041375.68,37270870.73,51106017.62,394912495.23,3743821882.8,1662203376.37,2472836108.96,566876393.44,2366312756.77,435947517.0942871,5109304900.345045
2010-01-04,sz.000096,7.78,7.95,7.76,7.76,7.78,5797632.0,45433386.81,3,1.135034,1,-0.2571,29.420462,2.519756,4.482119,113.578206,0,2009-09-30,108200147.75,107799184.76,117494721.19,8716164.19,27046281.68,1745949952.5,113846470.49,-17422841.38,-18592307.35,-15804917.52,-51820066.25,2009-12-30,正常票,584065727.4,568543194.88,505109328.4,9294573.44,106906439.91,622050473.95,783689794.28,962260158.22,113846470.49,,1632103482.01,510789280.3211181,3963724815.2918763
2010-01-04,sz.000099,7.78,7.9,7.71,7.84,7.78,5375779.0,42058123.67,3,1.961763,1,0.7712,30.531553,2.737903,5.127678,-26.173041,0,2009-09-30,89804989.62,66334732.48,106023344.84,220847678.24,225070423.88,2387840874.53,888658807.47,69294831.43,-22273170.11,-85074193.0,-38052531.68,2009-12-30,正常票,581664868.16,515330135.68,427382753.59,16218355.22,89671472.44,220583867.94,750763441.1,1637077433.43,297837202.47,590821605.0,1499182067.06,274027953.4276057,2148379154.8724284
2010-01-04,sz.000100,5.16,5.23,5.1,5.19,5.13,94953634.0,490206097.1,3,3.802134,1,1.1696,82.80304,3.066591,0.379975,20.992998,0,2009-09-30,246778003.0,297601662.0,432098460.0,5658919819.0,5166225322.0,25422389123.0,18162111305.0,482268445.0,-914105589.0,1508534853.0,1053401481.0,2009-12-30,正常票,30679347428.0,30420710467.0,25986393522.0,185320457.0,153402422.0,6678186420.0,19877412601.0,5544976522.0,16252545315.0,1909565990.0,7260277818.0,2497377367.5520115,12961388537.59494
2010-01-04,sz.000150,7.93,8.03,7.78,7.81,7.93,4771999.0,37629736.89,3,2.858094,1,-1.5132,19.11656,3.629324,4.000329,30.378169,0,2009-09-30,70682059.82,95151486.15,95348635.64,25998.91,810372033.28,1161061315.35,463840506.79,58752804.32,-91554.0,,58661250.32,2009-12-30,退市票,260135014.0,164973167.48,140911471.77,24666575.82,70682059.82,317952982.48,1146691877.02,14369438.33,343066121.05,120774385.74,697220808.56,166964382.55704677,1303991827.7705352
2010-01-04,sz.000151,10.62,10.99,10.46,10.86,10.58,9303637.0,99936481.75,3,5.219845,1,2.6465,66.006048,3.640114,4.010524,-14.757089,0,2009-09-30,22098363.14,27593048.04,28552326.79,2334009.95,119149151.57,1077725309.21,187021667.71,-115214807.13,-21821963.4,-27589044.15,-164692266.19,2009-12-30,正常票,508985888.73,489846670.01,439332286.73,6453963.65,21962522.3,150079032.26,457883128.93,619842180.28,180366207.84,6655459.87,890703641.5,178235886.31463194,1935641725.3769028
