date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-07-09,sh.600068,11.0800,11.3900,10.9300,11.2300,10.9300,17453747,195246843.0000,3,1.207554,1,2.744700,18.769072,2.677883,0.915793,35.776514,0
2010-07-12,sh.600068,11.4100,11.4400,11.2400,11.3600,11.2300,13802125,156834683.0000,3,0.954913,1,1.157600,18.986345,2.708883,0.926394,36.190668,0
2010-07-13,sh.600068,11.3000,11.3000,11.0400,11.1600,11.3600,12911958,144257074.0000,3,0.893326,1,-1.760600,18.652078,2.661191,0.910084,35.553509,0
2010-07-14,sh.600068,11.2100,11.4700,11.2000,11.3800,11.1600,13356957,151758475.0000,3,0.924113,1,1.971300,19.019771,2.713652,0.928025,36.254384,0
2010-07-15,sh.600068,7.5200,7.7300,7.3000,7.3500,7.5200,16813204,127263150.0000,3,0.775491,1,-2.260600,18.426448,2.628999,0.899075,35.123426,0
2010-07-16,sh.600068,7.3500,7.4400,7.1400,7.3100,7.3500,18540557,135138763.0000,3,0.855164,1,-0.544217,18.326168,2.614692,0.894182,34.932278,0
2010-07-19,sh.600068,7.2300,7.8000,7.1300,7.6700,7.3100,32393492,244591119.0000,3,1.494116,1,4.924800,19.228688,2.743459,0.938218,36.652609,0
2010-07-20,sh.600068,7.7300,8.0300,7.7300,7.9500,7.6700,44195862,349239038.0000,3,2.038488,1,3.650600,19.930648,2.843611,0.972469,37.990644,0
2010-07-21,sh.600068,8.0500,8.1600,7.8500,7.9400,7.9500,40892538,327574439.0000,3,1.886125,1,-0.125800,19.905578,2.840034,0.971246,37.942857,0
2010-07-22,sh.600068,7.9900,8.7200,7.9900,8.6000,7.9400,103920732,884090739.0000,3,4.793234,1,8.312300,21.560198,3.076108,1.051979,41.096798,0
2010-07-23,sh.600068,8.6600,8.7200,8.5000,8.7000,8.6000,65537706,564223741.0000,3,3.022858,1,1.162800,21.810898,3.111876,1.064211,41.574667,0
2010-07-26,sh.600068,8.7000,8.8500,8.5400,8.7400,8.7000,51166615,447061204.0000,3,2.360006,1,0.459800,21.911178,3.126184,1.069104,41.765815,0
2010-07-27,sh.600068,8.7500,9.0900,8.6200,9.0200,8.7400,68057033,603477550.0000,3,3.139059,1,3.203700,22.613138,3.226336,1.103355,43.103850,0
2010-07-28,sh.600068,9.0000,9.1000,8.9100,9.0600,9.0200,55418623,500193182.0000,3,2.556126,1,0.443500,22.713418,3.240644,1.108248,43.294998,0
2010-07-29,sh.600068,9.0600,9.1500,8.7500,8.8900,9.0600,83257895,741243363.0000,3,3.840183,1,-1.876400,22.287228,3.179837,1.087453,42.482620,0
2010-07-30,sh.600068,8.9000,8.9900,8.7600,8.8000,8.8900,39295983,347773936.0000,3,1.812486,1,-1.012400,22.061598,3.147645,1.076444,42.052537,0
2010-08-02,sh.600068,8.8000,9.0900,8.7200,8.9500,8.8000,47574967,425645200.0000,3,2.194345,1,1.704500,22.437648,3.201298,1.094792,42.769342,0
2010-08-03,sh.600068,8.9900,9.0300,8.7700,8.8000,8.9500,50493357,452047091.0000,3,2.328953,1,-1.676000,22.061598,3.147645,1.076444,42.052537,0
2010-08-04,sh.600068,8.7900,8.8500,8.5600,8.8000,8.8000,40297399,350169660.0000,3,1.858675,1,0.000000,22.061598,3.147645,1.076444,42.052537,0
2010-08-05,sh.600068,8.8300,9.2200,8.7700,9.0900,8.8000,78593749,711750811.0000,3,3.625054,1,3.295500,22.788628,3.251374,1.111917,43.438359,0
2010-08-06,sh.600068,9.1000,9.5800,9.1000,9.4600,9.0900,90744780,851403076.0000,3,4.185507,1,4.070400,23.716218,3.383719,1.157177,45.206477,0
2010-08-09,sh.600068,9.5000,9.5200,9.3500,9.4400,9.4600,43413390,409259089.0000,3,2.002397,1,-0.211400,23.666078,3.376565,1.154730,45.110903,0
2010-08-10,sh.600068,9.4400,9.4400,8.9000,8.9300,9.4400,54075461,495571506.0000,3,2.494174,1,-5.402500,22.387508,3.194144,1.092346,42.673768,0
2010-08-11,sh.600068,8.8700,9.2900,8.8200,9.1800,8.9300,45519536,414116130.0000,3,2.099541,1,2.799600,23.014258,3.283566,1.122926,43.868442,0
2010-08-12,sh.600068,9.0700,9.4400,9.0100,9.2200,9.1800,43870414,406682588.0000,3,2.023477,1,0.435700,23.114538,3.297874,1.127819,44.059590,0
2010-08-13,sh.600068,9.2000,9.3500,9.0600,9.2500,9.2200,30322084,278472594.0000,3,1.398574,1,0.325400,23.189748,3.308604,1.131489,44.202951,0
2010-08-16,sh.600068,9.2600,9.5400,9.1500,9.4900,9.2500,59333243,558843476.0000,3,2.736683,1,2.594600,23.791428,3.394449,1.160847,45.349838,0
2010-08-17,sh.600068,9.5800,9.6500,9.4300,9.5100,9.4900,47612606,454306421.0000,3,2.196081,1,0.210700,23.841568,3.401603,1.163293,45.445412,0
2010-08-18,sh.600068,9.5100,9.9400,9.4500,9.7900,9.5100,73862400,717404260.0000,3,3.406825,1,2.944300,24.543528,3.501755,1.197543,46.783447,0
2010-08-19,sh.600068,9.7300,9.9500,9.6700,9.8100,9.7900,50048220,491545319.0000,3,2.308421,1,0.204300,24.593668,3.508909,1.199990,46.879021,0
2010-08-20,sh.600068,9.7300,9.8000,9.4800,9.5900,9.8100,37311414,358675325.0000,3,1.720950,1,-2.242600,24.042128,3.430218,1.173079,45.827708,0
2010-08-23,sh.600068,9.5800,9.6400,9.2500,9.3300,9.5900,37853577,355132786.0000,3,1.745956,1,-2.711200,23.390308,3.337219,1.141275,44.585247,0
2010-08-24,sh.600068,9.3200,9.5700,9.0700,9.4300,9.3300,36084219,336319243.0000,3,1.664347,1,1.071800,23.641008,3.372988,1.153507,45.063116,0
2010-08-25,sh.600068,9.3200,9.4600,9.1200,9.1400,9.4300,30987695,288434010.0000,3,1.429275,1,-3.075300,22.913978,3.269259,1.118033,43.677294,0
2010-08-26,sh.600068,9.1600,9.3600,9.1600,9.2400,9.1400,19525004,180590497.0000,3,0.900570,1,1.094100,23.164678,3.305027,1.130266,44.155164,0
2010-08-27,sh.600068,9.2500,9.3900,9.1600,9.3000,9.2400,22842100,212056147.0000,3,1.053568,1,0.649400,23.315098,3.326489,1.137605,44.441886,0
2010-08-30,sh.600068,9.3900,9.8800,9.3800,9.8400,9.3000,64595433,626102923.0000,3,2.979396,1,5.806500,24.134483,3.538004,1.101094,56.095475,0
2010-08-31,sh.600068,9.8400,9.8700,9.5900,9.7500,9.8400,35353399,344199416.0000,3,1.630638,1,-0.914600,23.913740,3.505644,1.091023,55.582407,0
2010-09-01,sh.600068,9.8300,10.1000,9.6500,9.8900,9.7500,56403747,558606428.0000,3,2.601563,1,1.435900,24.257117,3.555982,1.106689,56.380513,0
2010-09-02,sh.600068,9.9500,10.0200,9.8100,9.9500,9.8900,59800860,593368304.0000,3,2.758252,1,0.606700,24.404279,3.577555,1.113403,56.722559,0
2010-09-03,sh.600068,9.9600,10.2600,9.9500,10.1000,9.9500,64801128,656596393.0000,3,2.988884,1,1.507500,24.772182,3.631488,1.130188,57.577673,0
2010-09-06,sh.600068,10.1700,10.2500,9.9300,10.0500,10.1000,32866221,330066968.0000,3,1.515920,1,-0.495000,24.649548,3.613510,1.124593,57.292635,0
2010-09-07,sh.600068,10.0300,10.0300,9.7400,9.9300,10.0500,49544491,488993443.0000,3,2.285187,1,-1.194000,24.355225,3.570364,1.111165,56.608543,0
2010-09-08,sh.600068,9.8800,9.9400,9.6700,9.8800,9.9300,38004881,372191038.0000,3,1.752935,1,-0.503527,24.232590,3.552386,1.105570,56.323505,0
2010-09-09,sh.600068,9.8800,9.9800,9.6600,9.7000,9.8800,32811516,321198911.0000,3,1.513397,1,-1.821900,23.791106,3.487667,1.085428,55.297369,0
2010-09-10,sh.600068,9.7000,9.7900,9.5000,9.7500,9.7000,27166830,262699246.0000,3,1.253041,1,0.515500,23.913740,3.505644,1.091023,55.582407,0
2010-09-13,sh.600068,9.7500,9.8000,9.5900,9.7400,9.7500,36653250,355955250.0000,3,1.690593,1,-0.102600,23.889213,3.502049,1.089904,55.525399,0
2010-09-14,sh.600068,9.7100,9.8800,9.7100,9.8200,9.7400,35107195,344125858.0000,3,1.619282,1,0.821400,24.085429,3.530813,1.098856,55.981460,0
2010-09-15,sh.600068,9.8100,9.8100,9.4600,9.5100,9.8200,41098709,393179418.0000,3,1.895635,1,-3.156800,23.325094,3.419352,1.064167,54.214224,0
2010-09-16,sh.600068,9.4800,9.6200,8.8800,8.9800,9.5100,52572659,479956864.0000,3,2.424858,1,-5.573100,22.025168,3.228788,1.004860,51.192822,0
2010-09-17,sh.600068,9.0100,9.1000,8.7800,8.9000,8.9800,31734363,282063490.0000,3,1.463714,1,-0.890900,21.828953,3.200024,0.995909,50.736761,0
2010-09-20,sh.600068,8.9800,9.2400,8.9500,9.1100,8.9000,40539280,370189743.0000,3,1.869832,1,2.359600,22.344018,3.275530,1.019407,51.933921,0
2010-09-21,sh.600068,9.1200,9.2100,8.9000,8.9700,9.1100,14467966,130765522.0000,3,0.667320,1,-1.536800,22.000641,3.225193,1.003741,51.135814,0
2010-09-27,sh.600068,8.9700,9.2300,8.9300,9.1700,8.9700,19263692,175144745.0000,3,0.552370,1,2.229700,22.491179,3.297104,1.026121,52.275966,0
2010-09-28,sh.600068,9.1500,9.2100,8.9800,9.0100,9.1700,16532808,149539520.0000,3,0.474065,1,-1.744800,22.098749,3.239575,1.008217,51.363845,0
2010-09-29,sh.600068,9.0900,9.0900,8.5400,8.6000,9.0100,37471491,329024404.0000,3,1.074464,1,-4.550500,21.093145,3.092158,0.962339,49.026533,0
2010-09-30,sh.600068,8.6200,8.8600,8.6000,8.7000,8.6000,34452726,300430296.0000,3,0.987903,1,1.162800,21.338415,3.128113,0.973529,49.596609,0
2010-10-08,sh.600068,8.8000,9.1700,8.6800,9.0500,8.7000,39668493,356386556.0000,3,1.137461,1,4.023000,22.196856,3.253957,1.012693,51.591875,0
2010-10-11,sh.600068,9.1400,9.4300,9.1000,9.2100,9.0500,45802366,425427205.0000,3,1.313345,1,1.768000,22.589287,3.311486,1.030597,52.503996,0
2010-10-12,sh.600068,9.2100,9.6000,9.1100,9.5700,9.2100,49825896,467229945.0000,3,1.428716,1,3.908800,23.472256,3.440925,1.070881,54.556270,0
2010-10-13,sh.600068,9.6100,9.7800,9.3900,9.5700,9.5700,45941837,439789958.0000,3,1.317344,1,0.000000,23.472256,3.440925,1.070881,54.556270,0
2010-10-14,sh.600068,9.6000,9.6300,9.0000,9.1800,9.5700,67393849,620568802.0000,3,1.932463,1,-4.075200,22.515706,3.300699,1.027240,52.332974,0
2010-10-15,sh.600068,9.1800,9.1800,8.7600,8.8200,9.1800,109755072,982820496.0000,3,3.147136,1,-3.921600,21.632737,3.171260,0.986957,50.280700,0
2010-10-18,sh.600068,8.6200,8.9800,8.6200,8.8800,8.8200,57479221,505813880.0000,3,1.648169,1,0.680300,21.779899,3.192833,0.993671,50.622746,0
2010-10-19,sh.600068,8.8800,9.1500,8.7800,9.1000,8.8800,56105622,504468571.0000,3,1.608782,1,2.477500,22.319491,3.271935,1.018288,51.876913,0
2010-10-20,sh.600068,8.9300,9.3200,8.8800,9.1900,9.1000,66801871,612328375.0000,3,1.915488,1,0.989000,22.540233,3.304295,1.028359,52.389981,0
2010-10-21,sh.600068,9.2600,9.3300,9.1000,9.1700,9.1900,40763209,375176130.0000,3,1.168851,1,-0.217600,22.491179,3.297104,1.026121,52.275966,0
